iter	Passed	Remaining
0	146	58557
1	148	29624
2	150	19929
3	152	15089
4	154	12185
5	155	10238
6	157	8830
7	159	7818
8	161	7011
9	163	6368
10	164	5834
11	166	5385
12	168	5005
13	170	4689
14	171	4412
15	173	4163
16	175	3948
17	177	3756
18	178	3584
19	180	3427
20	182	3287
21	183	3153
22	185	3036
23	186	2929
24	188	2824
25	190	2733
26	191	2648
27	192	2558
28	193	2476
29	195	2408
30	197	2345
31	198	2288
32	200	2230
33	202	2179
34	204	2130
35	205	2082
36	207	2036
37	209	1993
38	210	1952
39	212	1914
40	214	1877
41	216	1842
42	217	1808
43	219	1777
44	221	1747
45	223	1716
46	224	1688
47	226	1660
48	228	1635
49	230	1610
50	231	1586
51	233	1563
52	235	1540
53	237	1518
54	238	1494
55	239	1473
56	241	1453
57	243	1434
58	245	1416
59	247	1403
60	249	1388
61	252	1375
62	254	1361
63	256	1349
64	259	1336
65	262	1326
66	264	1314
67	266	1303
68	269	1293
69	272	1282
70	274	1271
71	276	1258
72	278	1248
73	280	1237
74	283	1227
75	285	1218
76	288	1208
77	290	1199
78	293	1191
79	297	1188
80	300	1184
81	304	1181
82	311	1191
83	314	1182
84	316	1172
85	318	1163
86	321	1155
87	323	1146
88	325	1136
89	327	1126
90	328	1116
91	330	1106
92	332	1096
93	334	1087
94	336	1078
95	337	1069
96	339	1060
97	341	1052
98	343	1043
99	345	1035
100	347	1027
101	348	1017
102	350	1009
103	351	1001
104	353	993
105	355	986
106	357	978
107	359	970
108	360	963
109	362	956
110	364	947
111	365	940
112	367	933
113	369	926
114	370	919
115	372	912
116	374	905
117	376	898
118	377	892
119	379	885
120	381	878
121	382	872
122	384	866
123	386	860
124	388	854
125	390	848
126	392	843
127	393	837
128	395	831
129	397	825
130	399	820
131	401	814
132	402	808
133	404	803
134	406	798
135	407	791
136	409	786
137	411	781
138	413	776
139	415	771
140	416	765
141	418	761
142	421	756
143	422	751
144	424	746
145	426	742
146	428	737
147	430	733
148	432	728
149	434	723
150	436	719
151	438	715
152	440	710
153	442	706
154	443	701
155	445	697
156	447	692
157	449	688
158	450	683
159	452	678
160	454	674
161	456	670
162	458	665
163	459	661
164	461	657
165	463	653
166	465	649
167	467	645
168	469	641
169	471	637
170	472	633
171	474	629
172	476	625
173	478	621
174	480	617
175	482	613
176	483	609
177	486	606
178	487	602
179	489	598
180	491	595
181	493	591
182	495	587
183	497	583
184	499	579
185	500	576
186	502	572
187	504	568
188	506	565
189	507	561
190	509	557
191	511	553
192	513	550
193	514	546
194	516	543
195	518	539
196	520	536
197	521	532
198	523	528
199	525	525
200	526	521
201	528	518
202	530	515
203	532	511
204	534	508
205	535	504
206	537	501
207	539	497
208	541	494
209	542	491
210	544	487
211	546	484
212	547	481
213	549	477
214	551	474
215	552	471
216	554	467
217	556	464
218	558	461
219	559	457
220	561	454
221	563	451
222	565	448
223	566	445
224	568	442
225	570	438
226	571	435
227	572	432
228	574	429
229	576	426
230	578	423
231	580	420
232	582	417
233	583	414
234	585	411
235	587	408
236	589	405
237	590	402
238	592	399
239	594	396
240	595	393
241	597	390
242	599	387
243	600	384
244	602	381
245	604	378
246	605	375
247	607	372
248	609	369
249	611	366
250	612	363
251	614	360
252	616	357
253	617	355
254	619	352
255	621	349
256	623	346
257	624	343
258	626	341
259	628	338
260	629	335
261	631	332
262	633	330
263	635	327
264	636	324
265	638	321
266	640	318
267	641	316
268	643	313
269	645	310
270	646	307
271	648	305
272	649	302
273	651	299
274	653	296
275	654	294
276	656	291
277	658	288
278	659	286
279	661	283
280	663	280
281	664	278
282	666	275
283	668	272
284	670	270
285	671	267
286	673	265
287	675	262
288	676	259
289	678	257
290	680	254
291	682	252
292	683	249
293	685	247
294	687	244
295	688	242
296	690	239
297	692	236
298	693	234
299	695	231
300	697	229
301	698	226
302	700	224
303	702	221
304	703	219
305	705	216
306	707	214
307	708	211
308	710	209
309	712	206
310	713	204
311	715	201
312	717	199
313	718	196
314	720	194
315	722	191
316	723	189
317	725	187
318	727	184
319	729	182
320	730	179
321	732	177
322	733	174
323	735	172
324	737	170
325	738	167
326	740	165
327	742	162
328	743	160
329	745	158
330	746	155
331	748	153
332	750	150
333	751	148
334	753	146
335	755	143
336	756	141
337	758	139
338	760	136
339	762	134
340	763	132
341	765	129
342	766	127
343	768	125
344	770	122
345	772	120
346	774	118
347	776	115
348	777	113
349	779	111
350	781	109
351	782	106
352	784	104
353	786	102
354	787	99
355	789	97
356	791	95
357	792	93
358	794	90
359	796	88
360	797	86
361	799	83
362	800	81
363	802	79
364	804	77
365	806	74
366	807	72
367	809	70
368	811	68
369	812	65
370	814	63
371	816	61
372	818	59
373	819	56
374	821	54
375	823	52
376	824	50
377	826	48
378	828	45
379	829	43
380	831	41
381	833	39
382	835	37
383	836	34
384	838	32
385	840	30
386	841	28
387	843	26
388	844	23
389	846	21
390	848	19
391	850	17
392	851	15
393	853	12
394	855	10
395	856	8
396	858	6
397	860	4
398	861	2
399	863	0
